Time    USD    EUR    TOMAN    YEN    GBP
2024-06-05 00:35:35.985667    1.0    0.9    42000.0    110.0    0.8
2024-06-05 00:36:35.985667    1.0    0.89    41521.38    111.52    0.8
2024-06-05 00:37:35.985667    0.99    0.88    41308.69    111.75    0.81
2024-06-05 00:38:35.985667    0.98    0.89    41444.6    109.97    0.81
2024-06-05 00:39:35.985667    0.99    0.88    40545.2    111.36    0.81
2024-06-05 00:40:35.985667    1.02    0.87    40430.87    113.82    0.79
2024-06-05 00:41:35.985667    1.0    0.87    40421.82    113.7    0.81
2024-06-05 00:42:35.985667    1.01    0.87    40542.3    114.51    0.8
2024-06-05 00:43:35.985667    1.02    0.88    40433.31    113.44    0.8
2024-06-05 00:44:35.985667    1.03    0.86    41130.4    113.25    0.81
2024-06-05 00:45:35.985667    1.04    0.87    41270.18    112.54    0.81
2024-06-05 00:46:35.985667    1.04    0.86    40941.57    113.58    0.81
2024-06-05 00:47:35.985667    1.05    0.86    40779.81    115.26    0.79
2024-06-05 00:48:35.985667    1.04    0.86    41108.28    116.84    0.8
2024-06-05 00:49:35.985667    1.05    0.86    41199.04    116.46    0.79
2024-06-05 00:50:35.985667    1.03    0.87    41340.04    114.84    0.79
2024-06-05 00:51:35.985667    1.03    0.86    41211.37    114.73    0.79
2024-06-05 00:52:35.985667    1.05    0.86    40926.79    117.36    0.79
2024-06-05 00:53:35.985667    1.06    0.85    40369.27    118.26    0.79
2024-06-05 00:54:35.985667    1.07    0.85    40115.82    118.13    0.79
2024-06-05 00:55:35.985667    1.07    0.84    39664.85    116.06    0.79
2024-06-05 00:56:35.985667    1.08    0.83    39725.56    117.04    0.79
2024-06-05 00:57:35.985667    1.09    0.82    39837.75    117.74    0.79
2024-06-05 00:58:35.985667    1.08    0.83    39998.6    116.78    0.79
2024-06-05 00:59:35.985667    1.1    0.82    40125.52    115.79    0.79
2024-06-05 01:00:35.985667    1.12    0.82    40458.76    117.11    0.79
2024-06-05 01:01:35.985667    1.1    0.81    40929.02    116.82    0.8
2024-06-05 01:02:35.985667    1.12    0.82    40514.81    117.26    0.79
2024-06-05 01:03:35.985667    1.09    0.81    40154.62    118.34    0.79
2024-06-05 01:04:35.985667    1.08    0.8    39920.53    117.88    0.79
2024-06-05 01:05:35.985667    1.07    0.79    39195.38    117.79    0.78
2024-06-05 01:06:35.985667    1.06    0.79    39252.08    117.57    0.77
2024-06-05 01:07:35.985667    1.07    0.8    38844.84    117.04    0.78
2024-06-05 01:08:35.985667    1.08    0.8    38314.63    114.08    0.77
2024-06-05 01:09:35.985667    1.08    0.8    38625.86    112.71    0.77
2024-06-05 01:10:35.985667    1.09    0.8    38452.28    112.24    0.77
2024-06-05 01:11:35.985667    1.09    0.81    38863.38    111.41    0.78
2024-06-05 01:12:35.985667    1.1    0.81    38921.01    112.84    0.77
2024-06-05 01:13:35.985667    1.1    0.81    39276.43    110.78    0.78
2024-06-05 01:14:35.985667    1.09    0.81    39180.09    111.5    0.78
2024-06-05 01:15:35.985667    1.1    0.8    38943.47    111.5    0.79
